document_id,url,event_id,predicted_action_type,predicted_legal_stage,count_min,count_max,count_qualifier,evidence_start,evidence_end,evidence_text,confidence,selection_reason,is_true_positive_gold,corrected_action_type_gold,corrected_legal_stage_gold,corrected_count_min_gold,corrected_count_max_gold,corrected_count_qualifier_gold,reviewer,reviewer_notes
07dcec661b7f7b357339,https://www.ice.gov/news/releases/dominican-national-arrested-assaulting-ice-agents-puerto-rico,07dcec661b7f7b357339:event:0000,arrest,agency_claim,,,,0,112,"SAN JUAN, Puerto Rico — ICE arrested Dominican national and illegal alien Bean Gomez-Cepeda July 2, after a U.S.",0.72,seeded_random,,,,,,,,
07dcec661b7f7b357339,https://www.ice.gov/news/releases/dominican-national-arrested-assaulting-ice-agents-puerto-rico,07dcec661b7f7b357339:event:0001,charge,charged,,,,190,335,"He was charged with resisting, opposing or impeding federal agents with a dangerous weapon and hitting a government vehicle with his own vehicle.",0.72,seeded_random,,,,,,,,
07dcec661b7f7b357339,https://www.ice.gov/news/releases/dominican-national-arrested-assaulting-ice-agents-puerto-rico,07dcec661b7f7b357339:event:0002,arrest,agency_claim,,,,430,556,"In a failed attempt to avoid being arrested, he drove his vehicle into one of ICE’s Homeland Security Investigations vehicles.",0.72,seeded_random,,,,,,,,
07dcec661b7f7b357339,https://www.ice.gov/news/releases/dominican-national-arrested-assaulting-ice-agents-puerto-rico,07dcec661b7f7b357339:event:0003,arrest,agency_claim,,,,557,683,"Officials arrested him and five other occupants of his vehicle, each of whom was also unlawfully present in the United States.",0.72,seeded_random,,,,,,,,
07dcec661b7f7b357339,https://www.ice.gov/news/releases/dominican-national-arrested-assaulting-ice-agents-puerto-rico,07dcec661b7f7b357339:event:0004,charge,charged,,,,2061,2205,"An indictment is merely an allegation, and all defendants are presumed innocent until proven guilty beyond a reasonable doubt in a court of law.",0.72,seeded_random,,,,,,,,
127e0ccbbb15b6d2bc45,https://www.ice.gov/news/releases/ices-287g-partnership-oklahoma-highway-patrol-nets-120-illegal-alien-arrests-91,127e0ccbbb15b6d2bc45:event:0000,detention,agency_claim,120.0,120.0,exact,421,729,"As a result, 120 illegal aliens were taken into custody for immigration violations, 91 of which were operating a commercial motor vehicle with a commercial driver license, and 27 were arrested from passenger vehicles during routine traffic stops, and two were arrested from a nearby marijuana grow operation.",0.86,contains_table,,,,,,,,
127e0ccbbb15b6d2bc45,https://www.ice.gov/news/releases/ices-287g-partnership-oklahoma-highway-patrol-nets-120-illegal-alien-arrests-91,127e0ccbbb15b6d2bc45:event:0001,arrest,agency_claim,,,,421,729,"As a result, 120 illegal aliens were taken into custody for immigration violations, 91 of which were operating a commercial motor vehicle with a commercial driver license, and 27 were arrested from passenger vehicles during routine traffic stops, and two were arrested from a nearby marijuana grow operation.",0.72,contains_table,,,,,,,,
127e0ccbbb15b6d2bc45,https://www.ice.gov/news/releases/ices-287g-partnership-oklahoma-highway-patrol-nets-120-illegal-alien-arrests-91,127e0ccbbb15b6d2bc45:event:0002,arrest,agency_claim,,,,421,729,"As a result, 120 illegal aliens were taken into custody for immigration violations, 91 of which were operating a commercial motor vehicle with a commercial driver license, and 27 were arrested from passenger vehicles during routine traffic stops, and two were arrested from a nearby marijuana grow operation.",0.72,contains_table,,,,,,,,
127e0ccbbb15b6d2bc45,https://www.ice.gov/news/releases/ices-287g-partnership-oklahoma-highway-patrol-nets-120-illegal-alien-arrests-91,127e0ccbbb15b6d2bc45:event:0003,arrest,agency_claim,,,,2250,2410,"Total arrested - 91 Out of status/overstays - 10 Illegal entry or humanitarian parole, pending asylum claim, or immigration hearing - 80 Final removal order – 1",0.72,contains_table,,,,,,,,
127e0ccbbb15b6d2bc45,https://www.ice.gov/news/releases/ices-287g-partnership-oklahoma-highway-patrol-nets-120-illegal-alien-arrests-91,127e0ccbbb15b6d2bc45:event:0004,arrest,agency_claim,,,,2974,3051,Illegal aliens arrested from passenger vehicles during routine traffic stops:,0.72,contains_table,,,,,,,,
127e0ccbbb15b6d2bc45,https://www.ice.gov/news/releases/ices-287g-partnership-oklahoma-highway-patrol-nets-120-illegal-alien-arrests-91,127e0ccbbb15b6d2bc45:event:0005,arrest,agency_claim,,,,3052,3246,"Total arrested - 27 Illegally entered (no prior immigration record) - 17 Prior deportation - 9 6 of the 9 have been deported 2 or more times Initially denied an entry visa, entered illegally – 1",0.72,contains_table,,,,,,,,
